Room,T_30 125.0 [s],T_30 250.0 [s],T_30 500.0 [s],T_30 1000.0 [s],T_30 2000.0 [s],T_30 4000.0 [s],T_30 8000.0 [s],"DT_40,ME [s]",Room Gain G_RG [dB],Voice Support ST_V [dB],G_RG from ST_V [dB]
Anechoic,0.05,0.05,0.05,0.15,0.06,0.73,0.07,0.07,0.0,-15.127,0.131
CalibrationRoom,0.07,0.05,0.06,0.06,0.07,0.07,0.09,0.07,-0.032,-14.783,0.142
Room1,0.93,0.22,0.26,0.46,0.82,1.08,1.09,1.05,0.09,-12.171,0.256
Room2,0.58,0.68,0.68,0.4,0.51,0.78,0.81,0.69,0.086,-12.388,0.244
Room3,0.59,0.49,0.52,0.55,0.51,0.74,0.73,0.71,0.01,-14.056,0.167
Room4,1.96,1.06,0.9,0.66,0.56,0.84,0.84,0.86,0.015,-14.02,0.169
Room5,0.9,0.55,0.28,0.07,0.17,0.18,0.17,0.22,0.001,-14.501,0.151
Room6,0.61,0.51,0.45,0.55,0.55,0.74,0.73,0.72,0.068,-12.903,0.217
Room7,1.84,0.66,0.12,0.07,0.08,0.12,0.14,0.57,-0.0,-14.614,0.148
Room8,0.66,0.3,0.54,0.71,0.96,1.49,1.57,1.52,0.068,-12.99,0.213
Room9,0.74,0.73,0.74,0.46,0.54,1.0,1.03,0.87,0.006,-14.531,0.15
Room10,1.19,4.07,0.37,0.11,0.07,0.24,0.35,0.27,-0.006,-14.998,0.135
Room11,26.07,19.84,0.68,0.59,0.58,1.06,1.11,1.09,0.018,-14.287,0.159
Room12,0.81,4.06,0.61,4.28,0.54,0.81,0.8,0.97,0.019,-14.332,0.157
